
 SPT   Si   O
            1            0            0
            2            0          187
            3            0        12978
            4            2          167
            5           79            0
            6         6524            0
            7           59            0
            8            2            0
            9            0            0
           10            0            0
           11            0            0
           12            0            0
           13            0            0
           14            0            0
           15            0            0
           16            0            0
           17            0            0
           18            0            0
           19            0            0
