       102           7 
         4          11 
        14          12 
        15          13 
         2          16 
         3          17 
         7          18 
         1          19 
         1          21 
         2          22 
         1          23 
         2          24 
         1          26 
         2          27 
         2          29 
         1          33 
         1          35 
         1          38 
         1          40 
         2          41 
         1          50 
         1          54 
         1          55 
         1          59 
         1          74 
         1         104 
         1         109 
         1         113 
         1         186 
         1        7077 

  
       102           7 
         4          11 
        14          12 
        15          13 
         2          16 
         3          17 
         7          18 
         1          19 
         1          21 
         2          22 
         1          23 
         2          24 
         1          26 
         2          27 
         2          29 
         1          33 
         1          35 
         1          38 
         1          40 
         2          41 
         1          50 
         1          54 
         1          55 
         1          59 
         1          74 
         1         104 
         1         109 
         1         113 
         1         186 
         1        7077 

  
