       105           5 
        21           9 
         5          13 
         2          21 
         1          29 
         1       13960 

  
        88           6 
        22          10 
        15          11 
         4          14 
         6          15 
         5          16 
         3          20 
         2          22 
         1          24 
         4          25 
         1          29 
         1          32 
         2          34 
         3          36 
         1          38 
         1          39 
         1          42 
         1          43 
         1          46 
         1          60 
         1         125 
         1        8756 

  
       179           7 
        13          11 
        14          12 
        21          13 
         1          16 
        11          17 
         2          18 
         1          19 
         1          22 
         1          23 
         2          24 
         1          27 
         1          28 
         1          29 
         2          34 
         1          38 

  
