 3.12  3.15  1.44  0.24  
 3.14  3.14  1.46  0.25  
 3.16  2.92  1.48  0.29  
 3.18  3.02  1.42  0.30  
 3.20  2.89  1.43  0.31  
 3.22  2.62  1.41  0.34  
 3.24  2.45  1.34  0.39  
 3.26  2.38  1.33  0.42  
 3.28  2.11  1.29  0.48  
 3.30  1.82  1.21  0.50  
 3.32  1.66  1.18  0.54  
 3.34  1.52  1.20  0.57  
 3.36  1.38  1.14  0.59  
 3.38  1.15  1.09  0.64  
 3.40  1.04  1.10  0.63  
 3.42  0.82  1.06  0.67  
 3.44  0.72  1.10  0.70  
 3.46  0.62  1.04  0.67  
 3.48  0.49  1.04  0.68  
 3.50  0.41  1.08  0.66  
 3.52  0.37  1.07  0.63  
 3.54  0.32  1.03  0.66  
 3.56  0.30  1.10  0.59  
 3.58  0.25  1.10  0.59  
 3.60  0.22  1.06  0.60  
 3.62  0.24  1.07  0.55  
 3.64  0.24  1.14  0.55  
 3.66  0.25  1.08  0.52  
 3.68  0.24  1.08  0.49  
 3.70  0.26  1.14  0.50  
 3.72  0.26  1.16  0.50  
 3.74  0.29  1.18  0.54  
 3.76  0.32  1.19  0.52  
 3.78  0.34  1.26  0.52  
 3.80  0.43  1.29  0.50  
 3.82  0.47  1.35  0.57  
 3.84  0.49  1.40  0.53  
 3.86  0.52  1.46  0.62  
 3.88  0.56  1.50  0.67  
 3.90  0.60  1.49  0.69  
 3.92  0.63  1.58  0.75  
 3.94  0.68  1.70  0.80  
 3.96  0.68  1.69  0.83  
 3.98  0.79  1.67  0.90  
 4.00  0.74  1.73  0.95  
 4.02  0.83  1.67  1.01  
 4.04  0.81  1.65  1.11  
 4.06  0.79  1.57  1.13  
 4.08  0.86  1.52  1.17  
 4.10  0.77  1.46  1.27  
 4.12  0.82  1.40  1.32  
 4.14  0.75  1.31  1.39  
 4.16  0.75  1.22  1.45  
 4.18  0.78  1.12  1.55  
 4.20  0.72  1.04  1.57  
 4.22  0.66  0.94  1.64  
 4.24  0.69  0.86  1.69  
 4.26  0.59  0.82  1.76  
 4.28  0.60  0.74  1.75  
 4.30  0.60  0.63  1.81  
 4.32  0.56  0.56  1.80  
 4.34  0.55  0.55  1.82  
 4.36  0.53  0.47  1.76  
 4.38  0.55  0.45  1.81  
 4.40  0.53  0.40  1.79  
 4.42  0.50  0.37  1.70  
 4.44  0.58  0.36  1.62  
 4.46  0.60  0.37  1.59  
 4.48  0.62  0.36  1.53  
 4.50  0.63  0.39  1.46  
 4.52  0.73  0.42  1.45  
 4.54  0.77  0.42  1.39  
 4.56  0.84  0.46  1.31  
 4.58  0.97  0.49  1.28  
 4.60  1.03  0.56  1.26  
 4.62  1.15  0.59  1.20  
 4.64  1.29  0.63  1.14  
 4.66  1.31  0.67  1.14  
 4.68  1.45  0.70  1.12  
 4.70  1.65  0.76  1.05  
 4.72  1.71  0.76  1.07  
 4.74  1.72  0.84  1.07  
 4.76  1.85  0.85  1.04  
 4.78  1.89  0.92  1.06  
 4.80  1.97  0.93  1.03  
 4.82  2.02  0.95  1.01  
 4.84  2.03  1.01  1.06  
