       165           5 
        10           9 
         4          10 
         1          13 
         1          14 
         1          19 

  
       102           6 
         1          10 
        24          11 
         3          12 
         4          15 
        10          16 
         2          17 
         3          20 
         1          22 
         2          26 
         2          30 
         1          36 
         1          53 
         1          63 
         1         128 
         1        8952 

  
         2           7 
         1       16169 

  
