       411           5 
         1           8 
        82           9 
        16          10 
        17          13 
        13          14 
         6          17 
         6          18 
         4          21 
         3          22 
         1          23 
         3          25 
         1          26 
         1          35 
         1          36 

  
        28           6 
         4          11 
         1       13953 

  
        47           7 
         2          11 
         2          12 
         3          13 
         1          19 
         1          21 
         1          39 
         1       11617 

  
