       386           5 
         1           8 
        89           9 
        10          10 
        45          13 
        11          14 
         1          16 
        24          17 
         9          18 
         1          19 
         2          20 
        13          21 
         4          22 
         1          23 
         3          24 
         3          25 
         7          26 
         1          28 
         7          29 
         3          30 
         1          32 
         2          33 
         2          34 
         1          36 
         2          37 
         2          38 
         1          39 
         3          41 
         4          45 
         3          46 
         1          50 
         1          52 
         2          54 
         1          57 
         2          58 
         2          59 
         1          60 
         1          61 
         1          62 
         1          65 
         1          67 
         1          68 
         1          69 
         2          70 
         1          73 
         1          75 
         1          78 
         1          80 
         1          88 
         1          96 
         1         110 
         1         129 
         1         130 
         1         216 
         1         273 

  
        13           6 
         1          11 
         1       14398 

  
       165           7 
         9          11 
        14          12 
        23          13 
         1          15 
         3          16 
        14          17 
        10          18 
         6          19 
         3          21 
         3          22 
         3          23 
         3          24 
         2          25 
         2          26 
         5          27 
         1          28 
         5          29 
         4          30 
         2          32 
         6          34 
         1          35 
         2          39 
         3          40 
         1          41 
         1          42 
         2          43 
         3          44 
         3          45 
         1          46 
         2          47 
         2          48 
         1          49 
         2          50 
         1          51 
         1          52 
         1          57 
         3          58 
         1          59 
         1          61 
         1          63 
         1          66 
         1          74 
         1          80 
         1          83 
         1          88 
         1         104 
         1         106 
         1         110 
         2         117 
         2         118 
         1         132 
         1         138 
         1         162 
         1         192 
         1         298 

  
