
 SPT   Si   O
            1            0          122
            2            0        10887
            3           44         2308
            4         4525           15
            5         1934            0
            6          163            0
            7            0            0
            8            0            0
            9            0            0
           10            0            0
           11            0            0
           12            0            0
           13            0            0
           14            0            0
           15            0            0
           16            0            0
           17            0            0
           18            0            0
           19            0            0
