        25           5 
         8           9 
         1          10 
         1          13 
         1          17 
         1       16064 

  
       148           6 
        33          10 
        24          11 
        11          14 
        18          15 
         9          16 
         1          18 
         5          19 
         4          20 
         2          21 
         5          23 
         2          24 
         1          25 
         1          26 
         3          27 
         2          28 
         3          29 
         2          30 
         1          31 
         2          33 
         4          34 
         1          36 
         1          37 
         1          38 
         3          40 
         1          41 
         1          45 
         2          47 
         1          58 
         2          59 
         1          61 
         1          64 
         1          69 
         1          70 
         1          72 
         1          73 
         1          78 
         1          87 
         1          92 
         1         100 
         1         141 
         1         146 
         1         158 
         1         184 
         1         196 
         1         265 
         1         275 
         1         678 
         1        2678 

  
       116           7 
         7          11 
         7          12 
         3          13 
         1          17 
         1          18 
         1          19 
         1          24 

  
