         4           5 
         1       18447 

  
       221           6 
         2           9 
        46          10 
        27          11 
         8          14 
        27          15 
         5          16 
         4          18 
        10          19 
         8          20 
         4          21 
         1          22 
         3          23 
         8          24 
         3          25 
         1          26 
         1          27 
         4          28 
         1          30 
         1          31 
         2          32 
         4          33 
         4          34 
         1          36 
         2          38 
         1          39 
         2          41 
         1          43 
         1          44 
         2          45 
         1          48 
         1          49 
         1          55 
         1          57 
         1          59 
         1          60 
         1          76 
         1          92 

  
        21           7 

  
