        31           6 
         1          10 
         2          11 
         1          15 
         1          19 
         2          21 
         1       13316 

  
        16           7 
         1          11 
         5          13 
         1       13338 

  
       344           5 
         1           8 
        37           9 
         9          10 
         7          13 
         6          14 
         1          15 
         1          17 
         2          18 
         1          19 
         2          21 
         1          22 
         1          26 
         1          29 

  
        31           6 
         1          10 
         3          11 
         1          15 
         1          19 
         2          21 
         1       13328 

  
        16           7 
         1          11 
         5          13 
         1       13319 

  
