    0.14     0.00     0.00     0.00     0.00     0.00     0.00
    0.16     0.00     0.00     0.00     0.00     0.00     0.00
    0.18     0.00     0.00     0.00     0.00     0.00     0.00
    0.20     0.00     0.00     0.00     0.00     0.00     0.00
    0.22     0.00     0.00     0.00     0.00     0.00     0.00
    0.24     0.00     0.00     0.00     0.00     0.00     0.00
    0.26     0.00     0.00     0.00     0.00     0.00     0.00
    0.28     0.00     0.00     0.00     0.00     0.00     0.00
    0.30     0.00     0.00     0.00     0.00     0.00     0.00
    0.32     0.00     0.00     0.00     0.00     0.00     0.00
    0.34     0.00     0.00     0.00     0.00     0.00     0.00
    0.36     0.00     0.00     0.00     0.00     0.00     0.00
    0.38     0.00     0.00     0.00     0.00     0.00     0.00
    0.40     0.00     0.00     0.00     0.00     0.00     0.00
    0.42     0.00     0.00     0.00     0.00     0.00     0.00
    0.44     0.00     1.00     0.00     1.00     0.00     0.00
    0.46     0.00     0.00     0.00     0.00     0.00     0.00
    0.48     0.00     0.00     0.00     0.00     0.00     0.00
    0.50     0.00     0.00     0.00     0.00     0.00     0.00
    0.52     0.00     0.00     0.00     0.00     0.00     0.00
    0.54     0.00     0.00     0.00     0.00     0.00     0.00
    0.56     0.00     0.00     0.00     0.00     0.00     0.00
    0.58     0.00     0.00     0.00     0.00     0.00     0.00
    0.60     0.00     0.00     0.00     0.00     0.00     0.00
    0.62     0.00     0.00     0.00     0.00     0.00     0.00
    0.64     0.00     0.00     0.00     0.00     0.00     0.00
    0.66     1.00     0.00     0.00     1.00     0.00     0.00
    0.68     0.00     0.00     0.00     1.00     0.00     0.00
    0.70     1.00     0.00     0.00     1.00     0.00     0.00
    0.72     1.00     0.00     0.00     0.00     1.00     0.00
    0.74     0.00     0.00     0.00     0.00     0.00     0.00
    0.76     0.00     0.00     0.00     0.00     0.00     0.00
    0.78     0.00     0.00     0.00     0.00     0.00     0.00
    0.80     0.00     0.00     0.00     1.00     0.00     0.00
    0.82     1.00     0.00     0.00     0.00     1.00     0.00
    0.84     0.00     1.00     0.00     1.00     0.00     0.00
    0.86     0.00     1.00     0.00     0.00     1.00     0.00
    0.88     2.00     0.00     0.00     3.00     0.00     0.00
    0.90     1.00     0.00     0.00     1.00     0.00     0.00
    0.92     1.00     3.00     0.00     1.00     2.00     0.00
    0.94     0.00     1.00     0.00     1.00     0.00     0.00
    0.96     1.00     1.00     0.00     2.00     0.00     0.00
    0.98     1.00     0.00     0.00     1.00     0.00     0.00
    1.00     1.00     0.00     1.00     0.00     3.00     0.00
    1.02     0.00     0.00     0.00     1.00     0.00     0.00
    1.04     0.00     0.00     0.00     0.00     0.00     0.00
    1.06     1.00     1.00     0.00     1.00     1.00     0.00
    1.08     1.00     2.00     0.00     2.00     2.00     0.00
    1.10     0.00     0.00     0.00     1.00     0.00     1.00
    1.12     2.00     0.00     0.00     1.00     1.00     0.00
    1.14     3.00     1.00     0.00     2.00     1.00     0.00
    1.16     2.00     2.00     0.00     4.00     0.00     0.00
    1.18     0.00     1.00     0.00     0.00     0.00     0.00
    1.20     1.00     1.00     0.00     1.00     1.00     0.00
    1.22     0.00     0.00     0.00     0.00     0.00     0.00
    1.24     2.00     0.00     1.00     2.00     1.00     0.00
    1.26     2.00     3.00     0.00     3.00     2.00     0.00
    1.28     0.00     1.00     0.00     1.00     1.00     0.00
    1.30     2.00     3.00     1.00     2.00     2.00     1.00
    1.32     3.00     0.00     0.00     2.00     1.00     0.00
