       219           5 
         1           8 
        61           9 
         1          10 
        25          13 
         1          14 
         8          17 
         1          18 
         8          21 
         2          22 
         3          25 
         2          29 
         1          33 
         1          41 
         1          52 
         1         168 
         1        9537 

  
        47           6 
         2          10 
         4          11 
         1          15 
         2          16 
         1          19 
         1          33 
         1          39 
         1       12417 

  
       231           7 
        17          11 
        26          12 
        23          13 
         1          16 
        12          17 
         7          18 
         1          21 
         5          22 
         9          23 
         2          24 
         2          27 
         2          30 
         2          31 
         1          32 
         3          33 
         3          35 
         1          36 
         1          37 
         1          39 
         1          47 
         1          50 
         1          66 

  
